Time;Value
639;1803
640;1782
641;1767
642;1759
643;1814
644;1801
645;1778
646;1771
647;1783
648;1785
649;1772
650;1871
651;1774
652;1763
653;1783
654;1779
655;1783
656;1776
657;1765
658;1786
659;1774
660;1776
661;1777
662;1774
663;1781
664;1790
665;1799
666;1793
667;1783
668;1765
669;1739
670;1830
671;1803
672;1806
673;1806
674;1808
675;1825
676;1811
677;1803
678;1797
679;1817
680;1754
681;1808
682;1818
683;1810
684;1823
685;1829
686;1841
687;1821
688;1829
689;1823
690;1856
691;1836
692;1858
693;1837
694;1840
695;1839
696;1845
697;1856
698;1851
699;1850
700;1841
701;1850
702;1876
703;1862
704;1862
705;1862
706;1867
707;1863
708;1870
709;1865
710;1869
711;1782
712;1902
713;1872
714;1857
715;1875
716;1879
717;1884
718;1887
719;1891
720;1886
721;1867
722;1895
723;1895
724;1899
725;1901
726;1904
727;1905
728;1903
729;1904
730;1913
731;1909
732;1936
733;1922
734;1917
735;1915
736;1920
737;1927
738;1917
739;1917
740;1922
741;1924
742;1938
743;1920
744;1920
745;1934
746;1929
747;1936
748;1943
749;1951
750;1937
751;1924
752;2001
753;1935
754;1958
755;1936
756;1949
757;1953
758;1974
759;1968
760;1945
761;1953
762;1952
763;1974
764;1969
765;1968
766;1966
767;1951
768;1975
769;1968
770;1985
771;1962
772;1985
773;1975
774;1979
775;1994
776;1968
777;1984
778;1982
779;1995
780;2000
781;1990
782;1979
783;1964
784;1985
785;1999
786;2021
787;1966
788;1993
789;1990
790;2015
791;2022
792;2003
793;2015
794;2006
795;2001
796;2028
797;2012
798;2000
799;1999
800;2007
801;2003
802;2031
803;2000
804;2005
805;2008
806;2025
807;2019
808;2014
809;1991
810;2002
811;2002
812;2031
813;2029
814;2014
815;2006
816;2011
817;2086
818;2031
819;2021
820;2018
821;1966
822;2003
823;2030
824;2031
825;2011
826;1987
827;2058
828;2023
829;2020
830;1995
831;1999
832;2007
833;2015
834;2014
835;1994
836;1987
837;2000
838;2003
839;2007
840;2010
841;2000
842;1995
843;1992
844;2011
845;1987
846;1985
847;1974
848;1986
849;1984
850;1990
851;1984
852;1974
853;1970
854;1969
855;2002
856;1984
857;1983
858;1969
859;1974
860;1965
861;1963
862;1965
863;1937
864;1959
865;1926
866;1948
867;1936
868;1950
869;1945
870;1941
871;1936
872;1935
873;1914
874;1923
875;1936
876;1920
877;1933
878;1929
879;1879
880;1927
881;1931
882;1930
883;1919
884;1920
885;1906
886;1906
887;1894
888;1907
889;1911
890;1915
891;1913
892;1897
893;1889
894;1875
895;1897
896;1887
897;1894
898;1884
899;1924
900;1905
901;1887
902;1888
903;1881
904;1887
905;1892
906;1910
907;1873
908;1879
909;1873
910;1877
911;1869
912;1856
913;1862
914;1858
915;1846
916;1872
917;1823
918;1856
919;1846
920;1845
921;1851
922;1862
923;1861
924;1840
925;1842
926;1843
927;1865
928;1841
929;1840
930;1834
931;1835
932;1835
933;1852
934;1837
935;1827
936;1826
937;1819
938;1839
939;1834
940;1814
941;1822
942;1808
943;1822
944;1823
945;1806
946;1814
947;1788
948;1810
949;1809
950;1809
951;1840
952;1781
953;1778
954;1799
955;1785
956;1790
957;1783
958;1789
959;1797
960;1805
961;1795
962;1782
963;1765
964;1787
965;1813
966;1794
967;1783
968;1782
969;1776
970;1803
971;1795
972;1797
973;1775
974;1743
975;1794
976;1822
977;1792
978;1781
979;1771
980;1776
981;1787
982;1788
983;1797
984;1755
985;1755
986;1779
987;1797
988;1776
989;1749
990;1771
991;1782
992;1797
993;1789
994;1777
995;1773
996;1782
997;1771
998;1796
999;1782
1000;1765
